Movie Title,Studio,Weekend Date,Opening Revenue
Hannibal,MGM,2/9/2001,"$58,003,121"
City Slickers II: The Legend of Curly's Gold,Col.,6/10/1994,"$11,516,375"
Alvin and the Chipmunks: Chipwrecked,Fox,12/16/2011,"$23,244,744"
The Last Samurai,WB,12/5/2003,"$24,271,354"
The Sorcerer's Apprentice,BV,7/14/2010,"$17,619,622"
Wild Wild West,WB,6/30/1999,"$27,687,484"
Hellboy II: The Golden Army,Uni.,7/11/2008,"$34,539,115"
Poetic Justice,Col.,7/23/1993,"$11,728,455"
The Negotiator,WB,7/31/1998,"$10,218,831"
Mulan,BV,6/19/1998,"$22,745,143"
Snow Dogs,BV,1/18/2002,"$17,814,259"
Twilight,Sum.,11/21/2008,"$69,637,740"
Kangaroo Jack,WB,1/17/2003,"$16,580,209"
Curious George,Uni.,2/10/2006,"$14,703,405"
Groundhog Day,Col.,2/12/1993,"$12,517,672"
Planet of the Apes (2001),Fox,7/27/2001,"$68,532,960"
Charlotte's Web (2006),Par.,12/15/2006,"$11,457,353"
Double Jeopardy,Par.,9/24/1999,"$23,162,542"
Home on the Range,BV,4/2/2004,"$13,880,771"
Robin Hood: Prince of Thieves,WB,6/14/1991,"$25,625,602"
Zathura,Sony,11/11/2005,"$13,427,872"
I Now Pronounce You Chuck and Larry,Uni.,7/20/2007,"$34,233,750"
Austin Powers: The Spy Who Shagged Me,NL,6/11/1999,"$54,917,604"
The Social Network,Sony,10/1/2010,"$22,445,653"
Hot Tub Time Machine,MGM,3/26/2010,"$14,020,502"
Raising Helen,BV,5/28/2004,"$10,985,597"
Deep Blue Sea,WB,7/30/1999,"$19,107,643"
Parenthood,Uni.,8/2/1989,"$10,506,450"
The Time Machine,DW,3/8/2002,"$22,610,437"
Guess Who,Sony,3/25/2005,"$20,671,446"
Footloose (2011),Par.,10/14/2011,"$15,556,113"
Up,BV,5/29/2009,"$68,108,790"
A Man Apart,NL,4/4/2003,"$11,019,224"
Freddy Vs. Jason,NL,8/15/2003,"$36,428,066"
The Wedding Date,Uni.,2/4/2005,"$11,129,580"
Scream 3,Dim.,2/4/2000,"$34,713,342"
Aeon Flux,Par.,12/2/2005,"$12,661,112"
Cats &amp; Dogs,WB,7/4/2001,"$21,707,617"
V for Vendetta,WB,3/17/2006,"$25,642,340"
The Wedding Planner,Sony,1/26/2001,"$13,510,293"
Sky High,BV,7/29/2005,"$14,631,784"
Dr. Dolittle 2,Fox,6/22/2001,"$25,037,039"
Toy Story,BV,11/22/1995,"$29,140,617"
Big Fat Liar,Uni.,2/8/2002,"$11,554,015"
