Movie Title,Studio,Weekend Date,Opening Revenue
Kill Bill Vol. 1,Mira.,10/10/2003,"$22,089,322"
The Lovely Bones,P/DW,1/15/2010,"$17,005,133"
Casper,Uni.,5/26/1995,"$16,840,385"
Seven Years in Tibet,Sony,10/10/1997,"$10,020,378"
Out of Time,MGM,10/3/2003,"$16,185,316"
Role Models,Uni.,11/7/2008,"$19,167,085"
Forgetting Sarah Marshall,Uni.,4/18/2008,"$17,725,330"
Underworld,SGem,9/19/2003,"$21,753,759"
Step Up 2 the Streets,BV,2/14/2008,"$18,908,826"
The Cat in the Hat,Uni.,11/21/2003,"$38,329,160"
Harlem Nights,Par.,11/17/1989,"$16,096,808"
Big Momma's House 2,Fox,1/27/2006,"$27,736,056"
Ali,Sony,12/25/2001,"$14,710,892"
Trouble with the Curve,WB,9/21/2012,"$12,162,040"
The Devil Inside,Par.,1/6/2012,"$33,732,515"
Entrapment,Fox,4/30/1999,"$20,145,595"
Jumanji,Sony,12/15/1995,"$11,084,370"
The Sum of All Fears,Par.,5/31/2002,"$31,178,526"
W.,LGF,10/17/2008,"$10,505,668"
Cocktail,BV,7/29/1988,"$11,789,466"
The Hitchhiker's Guide to the Galaxy,BV,4/29/2005,"$21,103,203"
Law Abiding Citizen,Over.,10/16/2009,"$21,039,502"
Panic Room,Sony,3/29/2002,"$30,056,751"
The Twilight Saga: New Moon,Sum.,11/20/2009,"$142,839,137"
Another 48 HRS.,Par.,6/8/1990,"$19,475,559"
In &amp; Out,Par.,9/19/1997,"$15,019,821"
Think Like a Man,SGem,4/20/2012,"$33,636,303"
Changing Lanes,Par.,4/12/2002,"$17,128,062"
The Cabin in the Woods,LGF,4/13/2012,"$14,743,614"
Uptown Girls,MGM,8/15/2003,"$11,277,367"
Meet the Robinsons,BV,3/30/2007,"$25,123,781"
Saw IV,LGF,10/26/2007,"$31,756,764"
12 Monkeys,Uni.,1/5/1996,"$13,842,990"
Demolition Man,WB,10/8/1993,"$14,262,432"
Harry Potter and the Order of the Phoenix,WB,7/11/2007,"$77,108,414"
Deja Vu,BV,11/22/2006,"$20,574,802"
Are We Done Yet?,SonR,4/4/2007,"$14,262,724"
Cop Out,WB,2/26/2010,"$18,211,126"
Rise of the Planet of the Apes,Fox,8/5/2011,"$54,806,191"
Nanny McPhee,Uni.,1/27/2006,"$14,503,650"
Insidious,FD,4/1/2011,"$13,271,464"
Cloudy with a Chance of Meatballs,Sony,9/18/2009,"$30,304,648"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,12/9/2005,"$65,556,312"
Father of the Bride Part II,BV,12/8/1995,"$11,134,978"
Driven,WB,4/27/2001,"$12,174,504"
The Chronicles of Narnia: Prince Caspian,BV,5/16/2008,"$55,034,805"
Harry Potter and the Prisoner of Azkaban,WB,6/4/2004,"$93,687,367"
The Fighter,Par.,12/17/2010,"$12,135,468"
Racing Stripes,WB,1/14/2005,"$13,920,052"
Observe and Report,WB,4/10/2009,"$11,017,334"
Rising Sun,Fox,7/30/1993,"$15,195,941"
The First Wives Club,Par.,9/20/1996,"$18,913,411"
Sucker Punch,WB,3/25/2011,"$19,058,199"
Mercury Rising,Uni.,4/3/1998,"$10,104,715"
Underworld: Evolution,SGem,1/20/2006,"$26,857,181"
Star Trek: First Contact,Par.,11/22/1996,"$30,716,131"
The Hunchback of Notre Dame,BV,6/21/1996,"$21,037,414"
Harry Potter and the Sorcerer's Stone,WB,11/16/2001,"$90,294,621"
Two Weeks Notice,WB,12/20/2002,"$14,328,494"
Dolphin Tale,WB,9/23/2011,"$19,152,401"
The Faculty,Mira.,12/25/1998,"$11,633,495"
Contraband,Uni.,1/13/2012,"$24,349,815"
Unbreakable,BV,11/22/2000,"$30,330,771"
Unfaithful,Fox,5/10/2002,"$14,065,277"
Monster House,Sony,7/21/2006,"$22,217,226"
Prometheus,Fox,6/8/2012,"$51,050,101"
Windtalkers,MGM,6/14/2002,"$14,520,412"
Mission: Impossible II,Par.,5/24/2000,"$57,845,297"
Ghost Ship,WB,10/25/2002,"$11,503,423"
Catch Me If You Can,DW,12/25/2002,"$30,053,627"
Death Becomes Her,Uni.,7/31/1992,"$12,110,355"
Good Will Hunting,Mira.,1/9/1998,"$10,261,471"
Spy Kids 3D: Game Over,Dim.,7/25/2003,"$33,417,739"
Crimson Tide,BV,5/12/1995,"$18,612,190"
Surrogates,BV,9/25/2009,"$14,902,692"
Piranha 3D,W/Dim.,8/20/2010,"$10,106,872"
The Legend of Zorro,Sony,10/28/2005,"$16,328,506"
The Prince of Egypt,DW,12/18/1998,"$14,524,321"
Divine Secrets of the Ya-Ya Sisterhood,WB,6/7/2002,"$16,167,412"
Coach Carter,Par.,1/14/2005,"$24,182,961"
Savages (2012),Uni.,7/6/2012,"$16,016,910"
WALL-E,BV,6/27/2008,"$63,087,526"
My Girl,Col.,11/27/1991,"$12,391,783"
Lady in the Water,WB,7/21/2006,"$18,044,396"
Hall Pass,WB (NL),2/25/2011,"$13,535,374"
The Mask of Zorro,Sony,7/17/1998,"$22,525,855"
Conan the Barbarian (2011),LGF,8/19/2011,"$10,021,215"
Mickey Blue Eyes,WB,8/20/1999,"$10,178,289"
Mr. Popper's Penguins,Fox,6/17/2011,"$18,445,355"
Fool's Gold,WB,2/8/2008,"$21,589,295"
Every Which Way But Loose,WB,,"$10,272,294"
Bruno,Uni.,7/10/2009,"$30,619,130"
Hot Shots!,Fox,8/2/1991,"$10,848,182"
Alien 3,Fox,5/22/1992,"$19,449,867"
Barnyard: The Original Party Animals,Par.,8/4/2006,"$15,820,864"
Die Hard: With A Vengeance,Fox,5/19/1995,"$22,162,245"
Executive Decision,WB,3/15/1996,"$12,069,780"
Django Unchained,Wein.,12/25/2012,"$30,122,888"
Gone in 60 Seconds,BV,6/9/2000,"$25,336,048"
Monster-in-Law,NL,5/13/2005,"$23,105,133"
The Tourist,Sony,12/10/2010,"$16,472,458"
Zombieland,Sony,10/2/2009,"$24,733,155"
The Fifth Element,Sony,5/9/1997,"$17,031,345"
Walk the Line,Fox,11/18/2005,"$22,347,341"
Eraser,WB,6/21/1996,"$24,566,446"
Kiss of the Dragon,Fox,7/6/2001,"$13,304,027"
Resident Evil: Afterlife,SGem,9/10/2010,"$26,650,264"
Broken Arrow (1996),Fox,2/9/1996,"$15,583,510"
Tower Heist,Uni.,11/4/2011,"$24,025,190"
Constantine,WB,2/18/2005,"$29,769,098"
High Crimes,Fox,4/5/2002,"$14,005,550"
Minority Report,Fox,6/21/2002,"$35,677,125"
The Distinguished Gentleman,BV,12/4/1992,"$10,611,040"
Road to Perdition,DW,7/12/2002,"$22,079,481"
Watchmen,WB,3/6/2009,"$55,214,334"
Spider-Man,Sony,5/3/2002,"$114,844,116"
Herbie: Fully Loaded,BV,6/22/2005,"$12,709,221"
Mighty Morphin' Power Rangers,Fox,6/30/1995,"$13,104,788"
Must Love Dogs,WB,7/29/2005,"$12,855,321"
Legion (2010),SGem,1/22/2010,"$17,501,625"
Legally Blonde,MGM,7/13/2001,"$20,377,426"
Message in a Bottle,WB,2/12/1999,"$16,751,560"
Kicking and Screaming,Uni.,5/13/2005,"$20,159,925"
Cars,BV,6/9/2006,"$60,119,509"
The Last Exorcism,LGF,8/27/2010,"$20,366,613"
The Others,Mira.,8/10/2001,"$14,089,952"
Breakdown,Par.,5/2/1997,"$12,307,128"
The Rundown,Uni.,9/26/2003,"$18,553,765"
The X-Files,Fox,6/19/1998,"$30,138,758"
Behind Enemy Lines,Fox,11/30/2001,"$18,736,133"
The Karate Kid Part III,Col.,6/30/1989,"$10,364,544"
Red Tails,Fox,1/20/2012,"$18,782,154"
What Lies Beneath,DW,7/21/2000,"$29,702,959"
Hard Target,Uni.,8/20/1993,"$10,106,500"
The League of Extraordinary Gentlemen,Fox,7/11/2003,"$23,075,892"
Mighty Joe Young,BV,12/25/1998,"$10,602,042"
Cats &amp; Dogs: The Revenge of Kitty Galore,WB,7/30/2010,"$12,279,363"
Saving Private Ryan,DW,7/24/1998,"$30,576,104"
Jumping the Broom,TriS,5/6/2011,"$15,215,487"
Drillbit Taylor,Par.,3/21/2008,"$10,309,986"
Flushed Away,P/DW,11/3/2006,"$18,814,323"
Fever Pitch,Fox,4/8/2005,"$12,400,125"
Accepted,Uni.,8/18/2006,"$10,023,835"
The Adjustment Bureau,Uni.,3/4/2011,"$21,157,730"
Eight Below,BV,2/17/2006,"$20,188,176"
Mean Girls,Par.,4/30/2004,"$24,432,195"
Mystic River,WB,10/17/2003,"$10,445,547"
Ghost,Par.,7/13/1990,"$12,191,540"
Michael,NL,12/25/1996,"$17,435,711"
The Legend of Bagger Vance,DW,11/3/2000,"$11,516,712"
Tyler Perry's Madea's Big Happy Family,LGF,4/22/2011,"$25,068,677"
The X-Files: I Want to Believe,Fox,7/25/2008,"$10,021,753"
Cobra,WB,5/23/1986,"$12,653,032"
Spider-Man 2,Sony,6/30/2004,"$88,156,227"
Judge Dredd,BV,6/30/1995,"$12,291,536"
Donnie Brasco,Sony,2/28/1997,"$11,660,216"
Miami Vice,Uni.,7/28/2006,"$25,723,815"
Radio,SonR,10/24/2003,"$13,303,724"
Dreamgirls,P/DW,12/25/2006,"$14,100,050"
Deck the Halls,Fox,11/22/2006,"$12,001,256"
End of Watch,ORF,9/21/2012,"$13,152,683"
Indecent Proposal,Par.,4/9/1993,"$18,387,632"
Pocahontas,BV,6/23/1995,"$29,531,619"
Step Up,BV,8/11/2006,"$20,659,573"
Million Dollar Baby,WB,1/28/2005,"$12,265,482"
Diary of a Wimpy Kid: Rodrick Rules,Fox,3/25/2011,"$23,751,502"
17 Again,WB (NL),4/17/2009,"$23,722,310"
J. Edgar,WB,11/11/2011,"$11,217,324"
The Green Mile,WB,12/10/1999,"$18,017,152"
Saw 3D,LGF,10/29/2010,"$22,530,123"
Wall Street: Money Never Sleeps,Fox,9/24/2010,"$19,011,188"
Hide and Seek,Fox,1/28/2005,"$21,959,233"
Zero Dark Thirty,Sony,1/11/2013,"$24,438,936"
Abraham Lincoln: Vampire Hunter,Fox,6/22/2012,"$16,306,974"
Green Lantern,WB,6/17/2011,"$53,174,303"
Varsity Blues,Par.,1/15/1999,"$15,204,148"
Star Wars: Episode II - Attack of the Clones,Fox,5/16/2002,"$80,027,814"
Master and Commander: The Far Side of the World,Fox,11/14/2003,"$25,105,990"
Star Trek V: The Final Frontier,Par.,6/9/1989,"$17,375,648"
Duplicity,Uni.,3/20/2009,"$13,965,110"
Queen of the Damned,WB,2/22/2002,"$14,757,535"
The Sisterhood of the Traveling Pants 2,WB,8/6/2008,"$10,678,430"
Eyes Wide Shut,WB,7/16/1999,"$21,706,163"
Alice in Wonderland (2010),BV,3/5/2010,"$116,101,023"
The Haunting in Connecticut,LGF,3/27/2009,"$23,004,765"
Larry Crowne,Uni.,7/1/2011,"$13,096,065"
DodgeBall: A True Underdog Story,Fox,6/18/2004,"$30,070,196"
The Scorpion King,Uni.,4/19/2002,"$36,075,875"
Wanted,Uni.,6/27/2008,"$50,927,085"
Rat Race,Par.,8/17/2001,"$11,662,094"
Norbit,P/DW,2/9/2007,"$34,195,434"
The Rainmaker (1997),Par.,11/21/1997,"$10,626,507"
The Rugrats Movie,Par.,11/20/1998,"$27,321,470"
What to Expect When You're Expecting,LGF,5/18/2012,"$10,547,068"
Along Came a Spider,Par.,4/6/2001,"$16,712,407"
Bandits,MGM,10/12/2001,"$13,050,700"
The Fugitive,WB,8/6/1993,"$23,758,855"
Body of Lies,WB,10/10/2008,"$12,884,416"
Cruel Intentions,Sony,3/5/1999,"$13,020,565"
Race to Witch Mountain,BV,3/13/2009,"$24,402,214"
The Last House on the Left (2009),Uni.,3/13/2009,"$14,118,685"
Star Wars: Episode I - The Phantom Menace (in 3D),Fox,2/10/2012,"$22,469,932"
Star Trek: Insurrection,Par.,12/11/1998,"$22,052,836"
Star Trek: Generations,Par.,11/18/1994,"$23,116,394"
The Stepfather (2009),SGem,10/16/2009,"$11,581,586"
The Pink Panther (2006),Sony,2/10/2006,"$20,220,412"
Fight Club,Fox,10/15/1999,"$11,035,485"
Due Date,WB,11/5/2010,"$32,689,406"
National Treasure,BV,11/19/2004,"$35,142,554"
Misery,Col.,11/30/1990,"$10,076,834"
Saw VI,LGF,10/23/2009,"$14,118,444"
Reign of Fire,BV,7/12/2002,"$15,632,281"
The American,Focus,9/1/2010,"$13,177,790"
The Man in the Iron Mask,MGM,3/13/1998,"$17,271,450"
Mortal Kombat,NL,8/18/1995,"$23,283,887"
Underworld Awakening,SGem,1/20/2012,"$25,306,725"
Knocked Up,Uni.,6/1/2007,"$30,690,990"
Proof of Life,WB,12/8/2000,"$10,207,869"
"Six Days, Seven Nights",BV,6/12/1998,"$16,485,276"
I Still Know What You Did Last Summer,Sony,11/13/1998,"$16,520,038"
The Rock,BV,6/7/1996,"$25,069,525"
The Road to El Dorado,DW,3/31/2000,"$12,846,652"
Take the Lead,NL,4/7/2006,"$12,051,277"
The Princess and the Frog,BV,12/11/2009,"$24,208,916"
ATL,WB,3/31/2006,"$11,554,404"
The Patriot,Sony,6/28/2000,"$22,413,710"
Vertical Limit,Sony,12/8/2000,"$15,507,845"
I Know What You Did Last Summer,Sony,10/17/1997,"$15,818,645"
"Honey, I Shrunk the Kids",BV,6/23/1989,"$14,262,961"
In the Line of Fire,Col.,7/9/1993,"$15,269,388"
The Manchurian Candidate,Par.,7/30/2004,"$20,018,620"
Safe Haven,Rela.,2/14/2013,"$21,401,594"
Shrek 2,DW,5/19/2004,"$108,037,878"
Traffic,USA,1/5/2001,"$15,517,549"
Elizabethtown,Par.,10/14/2005,"$10,618,711"
Get Rich or Die Tryin',Par.,11/9/2005,"$12,020,807"
From Dusk Till Dawn,Mira.,1/19/1996,"$10,240,805"
Paul,Uni.,3/18/2011,"$13,043,310"
Identity Thief,Uni.,2/8/2013,"$34,551,025"
The Departed,WB,10/6/2006,"$26,887,467"
S.W.A.T.,Sony,8/8/2003,"$37,062,535"
The Hobbit: An Unexpected Journey,WB,12/14/2012,"$84,617,303"
Predator,Fox,6/12/1987,"$12,031,638"
Mr. Brooks,MGM,6/1/2007,"$10,017,067"
Bring It On,Uni.,8/25/2000,"$17,362,105"
Knight &amp; Day,Fox,6/23/2010,"$20,139,985"
Dan in Real Life,BV,10/26/2007,"$11,809,445"
Soul Food,Fox,9/26/1997,"$11,197,897"
Contagion,WB,9/9/2011,"$22,403,596"
The Haunted Mansion,BV,11/26/2003,"$24,278,410"
Rambo,LGF,1/25/2008,"$18,203,876"
The Holiday,Sony,12/8/2006,"$12,778,913"
The Muppets,BV,11/23/2011,"$29,239,026"
Total Recall,Sony,6/1/1990,"$25,533,700"
The Living Daylights,UA,7/31/1987,"$11,051,284"
Four Christmases,WB (NL),11/26/2008,"$31,069,826"
The Beach,Fox,2/11/2000,"$15,277,921"
Mystery Men,Uni.,8/6/1999,"$10,017,865"
Fred Claus,WB,11/9/2007,"$18,515,473"
Clash of the Titans (2010),WB,4/2/2010,"$61,235,105"
Tyler Perry's I Can Do Bad All By Myself,LGF,9/11/2009,"$23,446,785"
Spy Kids 2: The Island of Lost Dreams,Dim.,8/7/2002,"$16,711,716"
The Crow,Mira.,5/13/1994,"$11,774,332"
The Last Song,BV,3/31/2010,"$16,007,426"
Jonas Brothers: The 3D Concert Experience,BV,2/27/2009,"$12,510,374"
Justin Bieber: Never Say Never,Par.,2/11/2011,"$29,514,054"
A Few Good Men,Col.,12/11/1992,"$15,517,468"
The Town,WB,9/17/2010,"$23,808,032"
The Smurfs,Sony,7/29/2011,"$35,611,637"
Tears of the Sun,SonR,3/7/2003,"$17,057,213"
Taken,Fox,1/30/2009,"$24,717,037"
Selena,WB,3/21/1997,"$11,615,722"
Wallace and Gromit: The Curse of the Were-Rabbit,DW,10/7/2005,"$16,025,987"
Blow,NL,4/6/2001,"$12,443,461"
Act of Valor,Rela.,2/24/2012,"$24,476,632"
Face/Off,Par.,6/27/1997,"$23,387,530"
Mona Lisa Smile,SonR,12/19/2003,"$11,528,498"
White Men Can't Jump,Fox,3/27/1992,"$14,711,124"
Pirates of the Caribbean: On Stranger Tides,BV,5/20/2011,"$90,151,958"
Hostage,Mira.,3/11/2005,"$10,214,734"
Unleashed,Rog.,5/13/2005,"$10,900,901"
Seabiscuit,Uni.,7/25/2003,"$20,854,735"
Blade: Trinity,NL,12/8/2004,"$16,061,271"
Marmaduke,Fox,6/4/2010,"$11,599,661"
Payback,Par.,2/5/1999,"$21,221,526"
The Hunt for Red October,Par.,3/2/1990,"$17,161,835"
Coyote Ugly,BV,8/4/2000,"$17,319,282"
Hollow Man,Sony,8/4/2000,"$26,414,386"
Notorious (2009),FoxS,1/16/2009,"$20,497,596"
Charlie and the Chocolate Factory,WB,7/15/2005,"$56,178,450"
The Change-Up,Uni.,8/5/2011,"$13,531,115"
Fast Five,Uni.,4/29/2011,"$86,198,765"
"Honey, I Blew Up the Kid",BV,7/17/1992,"$11,083,318"
Saw V,LGF,10/24/2008,"$30,053,954"
Agent Cody Banks,MGM,3/14/2003,"$14,064,317"
Gridiron Gang,Sony,9/15/2006,"$14,414,630"
The Fog (2005),SonR,10/14/2005,"$11,752,917"
Flatliners,Col.,8/10/1990,"$10,034,685"
Jackass 3-D,Par.,10/15/2010,"$50,353,641"
You've Got Mail,WB,12/18/1998,"$18,426,749"
The Client,WB,7/22/1994,"$17,174,262"
The Bourne Supremacy,Uni.,7/23/2004,"$52,521,865"
Lincoln,BV,11/16/2012,"$21,049,406"
Flags of Our Fathers,P/DW,10/20/2006,"$10,245,190"
Scream 4,W/Dim.,4/15/2011,"$18,692,090"
Snow Day,Par.,2/11/2000,"$14,331,819"
Mission: Impossible - Ghost Protocol,Par.,12/21/2011,"$29,556,629"
Dumb and Dumber,NL,12/16/1994,"$16,363,442"
Fun with Dick and Jane,Sony,12/21/2005,"$14,383,515"
Garfield: The Movie,Fox,6/11/2004,"$21,727,611"
Waterworld,Uni.,7/28/1995,"$21,171,780"
The Last of the Mohicans,Fox,9/25/1992,"$10,976,661"
Shooter,Par.,3/23/2007,"$14,523,571"
All About Steve,Fox,9/4/2009,"$11,241,214"
Australia,Fox,11/26/2008,"$14,800,723"
Miss Congeniality 2: Armed and Fabulous,WB,3/24/2005,"$14,043,215"
The Exorcism of Emily Rose,SGem,9/9/2005,"$30,054,300"
Ocean's Eleven,WB,12/7/2001,"$38,107,822"
Bowfinger,Uni.,8/13/1999,"$18,062,550"
Eat Pray Love,Sony,8/13/2010,"$23,104,523"
Crank,LGF,9/1/2006,"$10,457,367"
Public Enemies,Uni.,7/1/2009,"$25,271,675"
Night at the Museum,Fox,12/22/2006,"$30,433,781"
Titanic 3D,Par.,4/4/2012,"$17,285,453"
The Addams Family,Par.,11/22/1991,"$24,203,754"
Nothing to Lose,BV,7/18/1997,"$11,617,767"
Hope Floats,Fox,5/29/1998,"$14,210,464"
Zoolander,Par.,9/28/2001,"$15,525,043"
Snake Eyes,Par.,8/7/1998,"$16,310,373"
Robocop 2,Orion,6/22/1990,"$14,145,411"
Without a Paddle,Par.,8/20/2004,"$13,528,946"
Space Jam,WB,11/15/1996,"$27,528,529"
Halloween: Resurrection,Dim.,7/12/2002,"$12,292,121"
Someone Like You,Fox,3/30/2001,"$10,010,600"
First Knight,Sony,7/7/1995,"$10,856,442"
Brooklyn's Finest,Over.,3/5/2010,"$13,350,299"
The Golden Compass,NL,12/7/2007,"$25,783,232"
Eragon,Fox,12/15/2006,"$23,239,907"
The Ides of March,Sony,10/7/2011,"$10,470,143"
Star Trek III: The Search for Spock,Par.,6/1/1984,"$16,673,295"
Jaws 3-D,Uni.,7/22/1983,"$13,422,500"
Catwoman,WB,7/23/2004,"$16,728,411"
The Fourth Kind,Uni.,11/6/2009,"$12,231,160"
X-Men: The Last Stand,Fox,5/26/2006,"$102,750,665"
The Replacements,WB,8/11/2000,"$11,039,214"
The Messengers,SGem,2/2/2007,"$14,713,321"
Lilo &amp; Stitch,BV,6/21/2002,"$35,260,212"
Taxi,Fox,10/6/2004,"$12,029,832"
Remember the Titans,BV,9/29/2000,"$20,905,831"
30 Minutes or Less,Sony,8/12/2011,"$13,330,118"
Project X,WB,3/2/2012,"$21,051,363"
Clockstoppers,Par.,3/29/2002,"$10,108,333"
Smokey and the Bandit II,Uni.,,"$10,883,835"
Jumper,Fox,2/14/2008,"$27,354,808"
Super 8,Par.,6/10/2011,"$35,451,168"
Ghost Rider: Spirit of Vengeance,Sony,2/17/2012,"$22,115,334"
Limitless,Rela.,3/18/2011,"$18,907,302"
District 9,TriS,8/14/2009,"$37,354,308"
Hope Springs,Sony,8/8/2012,"$14,650,121"
The Cell,NL,8/18/2000,"$17,515,050"
Sweet Home Alabama,BV,9/27/2002,"$35,648,740"
The Ugly Truth,Sony,7/24/2009,"$27,605,576"
Ace Ventura: Pet Detective,WB,2/4/1994,"$12,115,105"
Wayne's World 2,Par.,12/10/1993,"$13,516,699"
Paranormal Activity 4,Par.,10/19/2012,"$29,003,866"
SwimFan,Fox,9/6/2002,"$11,326,601"
Welcome Home Roscoe Jenkins,Uni.,2/8/2008,"$16,207,730"
The Whole Nine Yards,WB,2/18/2000,"$13,731,070"
Push,Sum.,2/6/2009,"$10,079,109"
World Trade Center,Par.,8/9/2006,"$18,730,762"
Crossroads,Par.,2/15/2002,"$14,527,187"
Jingle All the Way,Fox,11/22/1996,"$12,112,267"
Sphere,WB,2/13/1998,"$14,433,957"
Ocean's Twelve,WB,12/10/2004,"$39,153,380"
Tooth Fairy,Fox,1/22/2010,"$14,010,409"
John Q.,NL,2/15/2002,"$20,275,194"
King Kong,Uni.,12/14/2005,"$50,130,145"
The Italian Job,Par.,5/30/2003,"$19,457,944"
Bad News Bears,Par.,7/22/2005,"$11,382,472"
Spawn,NL,8/1/1997,"$19,738,749"
Ted,Uni.,6/29/2012,"$54,415,205"
Hitman,Fox,11/21/2007,"$13,180,769"
Basic,Sony,3/28/2003,"$11,511,960"
Life,Uni.,4/16/1999,"$20,414,775"
The Adventures of Sharkboy and Lavagirl in 3D,Dim.,6/10/2005,"$12,582,088"
The Devil's Advocate,WB,10/17/1997,"$12,170,536"
The Parent Trap,BV,7/31/1998,"$11,148,497"
The Untouchables,Par.,6/5/1987,"$10,023,094"
Dance Flick,Par.,5/22/2009,"$10,643,536"
Cars 2,BV,6/24/2011,"$66,135,507"
Dr. Seuss' The Lorax,Uni.,3/2/2012,"$70,217,070"
Legend of the Guardians: The Owls of Ga'Hoole,WB,9/24/2010,"$16,112,211"
Boyz N the Hood,Col.,7/12/1991,"$10,023,462"
Dark Shadows,WB,5/11/2012,"$29,685,274"
The Dark Knight,WB,7/18/2008,"$158,411,483"
D2: The Mighty Ducks,BV,3/25/1994,"$10,356,748"
Tyler Perry's The Family That Preys,LGF,9/12/2008,"$17,381,218"
Chronicle (2012),Fox,2/3/2012,"$22,004,098"
Dear John,SGem,2/5/2010,"$30,468,614"
"South Park - Bigger, Longer and Uncut",Par.,6/30/1999,"$11,335,889"
Stigmata,MGM,9/10/1999,"$18,309,666"
Nine Months,Fox,7/14/1995,"$12,522,240"
The Da Vinci Code,Sony,5/19/2006,"$77,073,388"
Prom Night (2008),SGem,4/11/2008,"$20,804,941"
Superman III,WB,6/17/1983,"$13,352,357"
Analyze That,WB,12/6/2002,"$11,034,422"
Source Code,Sum.,4/1/2011,"$14,812,094"
She's All That,Mira.,1/29/1999,"$16,065,430"
Because I Said So,Uni.,2/2/2007,"$13,122,865"
Along Came Polly,Uni.,1/16/2004,"$27,721,185"
Harry Potter and the Goblet of Fire,WB,11/18/2005,"$102,685,961"
Liar Liar,Uni.,3/21/1997,"$31,423,025"
Shallow Hal,Fox,11/9/2001,"$22,518,295"
Bedtime Stories,BV,12/25/2008,"$27,450,296"
Star Wars: Episode I - The Phantom Menace,Fox,5/19/1999,"$64,820,970"
Pitch Black,USA,2/18/2000,"$11,577,688"
Conspiracy Theory,WB,8/8/1997,"$19,313,566"
A Bug's Life,BV,11/27/1998,"$33,258,052"
Kick-Ass,LGF,4/16/2010,"$19,828,687"
Jay and Silent Bob Strike Back,Mira.,8/24/2001,"$11,018,543"
Knowing,Sum.,3/20/2009,"$24,604,751"
Mary Shelley's Frankenstein,Sony,11/4/1994,"$11,212,889"
Date Movie,Fox,2/17/2006,"$19,076,261"
The Devil Wears Prada,Fox,6/30/2006,"$27,537,244"
Four Brothers,Par.,8/12/2005,"$21,176,925"
Get Shorty,MGM,10/20/1995,"$12,700,007"
Firewall,WB,2/10/2006,"$13,635,463"
The Shaggy Dog,BV,3/10/2006,"$16,310,058"
A League of Their Own,Sony,7/1/1992,"$13,739,456"
Resident Evil,SGem,3/15/2002,"$17,707,106"
Alien Resurrection,Fox,11/26/1997,"$16,474,092"
Ghosts of Girlfriends Past,WB (NL),5/1/2009,"$15,411,434"
Quarantine,SGem,10/10/2008,"$14,211,321"
Intolerable Cruelty,Uni.,10/10/2003,"$12,525,075"
You Got Served,SGem,1/30/2004,"$16,123,105"
Men in Black,Sony,7/2/1997,"$51,068,455"
Training Day,WB,10/5/2001,"$22,550,788"
Journey 2: The Mysterious Island,WB,2/10/2012,"$27,335,363"
Return of the Jedi (Special Edition),Fox,3/14/1997,"$16,293,531"
Disclosure,WB,12/9/1994,"$10,068,126"
Yes Man,WB,12/19/2008,"$18,262,471"
Runaway Jury,Fox,10/17/2003,"$11,836,705"
Escape From Planet Earth,Wein.,2/15/2013,"$15,891,055"
Team America: World Police,Par.,10/15/2004,"$12,120,358"
When a Stranger Calls,SGem,2/3/2006,"$21,607,203"
X-Men Origins: Wolverine,Fox,5/1/2009,"$85,058,003"
Zack and Miri Make a Porno,Wein.,10/31/2008,"$10,065,630"
My Best Friend's Wedding,Sony,6/20/1997,"$21,678,377"
Rocky IV,UA,11/27/1985,"$19,991,537"
The Informant!,WB,9/18/2009,"$10,464,314"
The Net,Sony,7/28/1995,"$10,037,745"
Iron Man,Par.,5/2/2008,"$98,618,668"
Bram Stoker's Dracula,Col.,11/13/1992,"$30,521,679"
All About the Benjamins,NL,3/8/2002,"$10,007,291"
Cop Land,Mira.,8/15/1997,"$13,510,482"
Get Smart,WB,6/20/2008,"$38,683,480"
Freddy's Dead: The Final Nightmare,NL,9/13/1991,"$12,966,525"
X-Men: First Class,Fox,6/3/2011,"$55,101,604"
The Siege,Fox,11/6/1998,"$13,931,285"
Shaft,Par.,6/16/2000,"$21,714,757"
Christmas Vacation,WB,12/1/1989,"$11,750,203"
101 Dalmatians (1996),BV,11/27/1996,"$33,504,025"
Diary of a Wimpy Kid,Fox,3/19/2010,"$22,126,166"
The 6th Day,Sony,11/17/2000,"$13,020,883"
America's Sweethearts,SonR,7/20/2001,"$30,181,877"
Juno,FoxS,12/25/2007,"$10,634,576"
Maverick,WB,5/20/1994,"$17,248,545"
MIB 3,Sony,5/25/2012,"$54,592,779"
Dante's Peak,Uni.,2/7/1997,"$18,479,435"
Sex and the City,WB (NL),5/30/2008,"$57,038,404"
The Butterfly Effect,NL,1/23/2004,"$17,065,227"
Home Alone 2: Lost in New York,Fox,11/20/1992,"$31,126,882"
Hot Shots! Part Deux,Fox,5/21/1993,"$10,250,661"
Bridesmaids,Uni.,5/13/2011,"$26,247,410"
Nacho Libre,Par.,6/16/2006,"$28,309,599"
Scrooged,Par.,11/23/1988,"$13,027,842"
Bedazzled (2000),Fox,10/20/2000,"$13,106,526"
Star Trek IV: The Voyage Home,Par.,11/26/1986,"$16,881,888"
A View to a Kill,MGM,5/24/1985,"$10,687,114"
Ninja Assassin,WB,11/25/2009,"$13,316,158"
Collateral Damage,WB,2/8/2002,"$15,058,432"
Undercover Brother,Uni.,5/31/2002,"$12,037,685"
Meet the Spartans,Fox,1/25/2008,"$18,505,530"
